PREFE,CNA_COD,Column1,_1,_2,_3,CNA_NUMERO,_4,_5,_6,_7,_8,CNA_NOME
PM_MAGE,101090,133499,Cultivo de frutas de lavoura permanente não especificadas anteriormente                                                                                                                                                                                                                                     ,,,,,,,,,
PM_MAGE,101091,1342,Cultivo de café                                                                                                                                                                                                                                                                                             ,,,,,,,,,
PM_MAGE,101092,134200,Cultivo de café                                                                                                                                                                                                                                                                                             ,,,,,,,,,
PM_MAGE,101093,1351,Cultivo de cacau                                                                                                                                                                                                                                                                                            ,,,,,,,,,
PM_MAGE,101094,135100,Cultivo de cacau                                                                                                                                                                                                                                                                                            ,,,,,,,,,
PM_MAGE,101095,1393,Cultivo de plantas de lavoura permanente não especificadas anteriormente                                                                                                                                                                                                                                    ,,,,,,,,,
PM_MAGE,101096,139301,Cultivo de chá-da-índia                                                                                                                                                                                                                                                                                     ,,,,,,,,,
PM_MAGE,101097,139302,Cultivo de erva-mate                                                                                                                                                                                                                                                                                        ,,,,,,,,,
PM_MAGE,101098,139303,Cultivo de pimenta-do-reino                                                                                                                                                                                                                                                                                 ,,,,,,,,,
PM_MAGE,101099,139304,"Cultivo de plantas para condimento, exceto pimenta-do-reino                                                                                                                                                                                                                                                 ",,,,,,,,,
PM_MAGE,101100,139305,Cultivo de dendê                                                                                                                                                                                                                                                                                            ,,,,,,,,,
PM_MAGE,101101,139306,Cultivo de seringueira                                                                                                                                                                                                                                                                                      ,,,,,,,,,
PM_MAGE,101102,139399,Cultivo de outras plantas de lavoura permanente não especificadas anteriormente                                                                                                                                                                                                                             ,,,,,,,,,
PM_MAGE,101103,14,Produção de sementes e mudas certificadas                                                                                                                                                                                                                                                                   ,,,,,,,,,
PM_MAGE,101104,1415,Produção de sementes certificadas                                                                                                                                                                                                                                                                           ,,,,,,,,,
PM_MAGE,101105,141501,"Produção de sementes certificadas, exceto de forrageiras para pasto                                                                                                                                                                                                                                         ",,,,,,,,,
PM_MAGE,101106,141502,Produção de sementes certificadas de forrageiras para formação de pasto                                                                                                                                                                                                                                     ,,,,,,,,,
PM_MAGE,101107,1423,"Produção de mudas e outras formas de propagação vegetal, certificadas                                                                                                                                                                                                                                       ",,,,,,,,,
PM_MAGE,101108,142300,"Produção de mudas e outras formas de propagação vegetal, certificadas                                                                                                                                                                                                                                       ",,,,,,,,,
PM_MAGE,101109,15,Pecuária                                                                                                                                                                                                                                                                                                    ,,,,,,,,,
PM_MAGE,101110,1512,Criação de bovinos                                                                                                                                                                                                                                                                                          ,,,,,,,,,
PM_MAGE,101111,151201,Criação de bovinos para corte                                                                                                                                                                                                                                                                               ,,,,,,,,,
PM_MAGE,101112,151202,Criação de bovinos para leite                                                                                                                                                                                                                                                                               ,,,,,,,,,
PM_MAGE,101113,151203,"Criação de bovinos, exceto para corte e leite                                                                                                                                                                                                                                                               ",,,,,,,,,
PM_MAGE,101114,1521,Criação de outros animais de grande porte                                                                                                                                                                                                                                                                   ,,,,,,,,,
PM_MAGE,101115,152101,Criação de bufalinos                                                                                                                                                                                                                                                                                        ,,,,,,,,,
PM_MAGE,101116,152102,Criação de eqüinos                                                                                                                                                                                                                                                                                          ,,,,,,,,,
PM_MAGE,101117,152103,Criação de asininos e muares                                                                                                                                                                                                                                                                                ,,,,,,,,,
PM_MAGE,101118,1539,Criação de caprinos e ovinos                                                                                                                                                                                                                                                                                ,,,,,,,,,
PM_MAGE,101119,153901,Criação de caprinos                                                                                                                                                                                                                                                                                         ,,,,,,,,,
PM_MAGE,101120,153902,"Criação de ovinos, inclusive para produção de lã                                                                                                                                                                                                                                                            ",,,,,,,,,
PM_MAGE,101121,1547,Criação de suínos                                                                                                                                                                                                                                                                                           ,,,,,,,,,
